,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
105,Got You (Where I Want You),Holiday Man,The Flys,1998,242453,58,0.000405,0.47,0.644,0.293,0.134,-6.721,0.0269,75.597,4
106,This Is a Call,Foo Fighters,Foo Fighters,1995-07-04,233360,60,0.00141,0.261,0.964,2.87e-05,0.183,-6.654,0.0638,162.902,3
107,Heaven Beside You,Alice In Chains,Alice In Chains,1995-10-30,327893,0,0.00451,0.552,0.725,0.000158,0.116,-7.09,0.0319,111.243,4
108,In the Meantime,Resident Alien,Spacehog,1995,299506,62,0.083,0.269,0.895,0.00266,0.153,-6.382,0.118,168.479,4
109,Backwater,Too High To Die,Meat Puppets,1994-01-25,220533,59,0.13,0.495,0.84,0.00151,0.185,-6.613,0.0446,111.82,4
110,Seether,American Thighs,Veruca Salt,1994-01-01,196573,54,0.00291,0.612,0.848,0.00319,0.0687,-9.178,0.0463,136.196,4
111,Hurt,The Downward Spiral,Nine Inch Nails,1994-03-08,373333,1,0.697,0.485,0.193,0.0262,0.135,-16.985,0.0322,79.926,4
112,Everything Zen,Sixteen Stone,Bush,1994-12-06,278133,0,0.000575,0.482,0.808,0.0036,0.14,-7.034,0.0465,134.237,4
113,Little Things,Sixteen Stone,Bush,1994-12-06,264293,0,0.000229,0.367,0.915,0.0,0.184,-5.453,0.0682,112.642,4
114,Freak,Freak Show,Silverchair,1997,226106,60,0.00451,0.539,0.883,1.38e-06,0.0606,-6.614,0.0652,118.058,4
115,Sister,Foma,The Nixons,1995-01-01,268800,48,0.00126,0.331,0.77,0.0,0.115,-6.91,0.0319,170.805,4
116,Sell Out,Turn The Radio Off,Reel Big Fish,1996,227493,60,0.064,0.557,0.87,1.51e-05,0.208,-6.332,0.125,104.708,4
117,Nutshell,Jar Of Flies,Alice In Chains,1994,259200,70,0.373,0.384,0.561,0.253,0.0775,-10.059,0.0296,136.136,3
118,Mother Mother,The Burdens Of Being Upright,Tracy Bonham,1996-03-19,180733,51,0.015,0.368,0.626,0.0,0.201,-7.082,0.0618,174.394,4
119,State of Love and Trust,Singles - Original Motion Picture Soundtrack,Various Artists,1992-06-02,227200,54,0.00035,0.326,0.894,0.0,0.435,-9.558,0.0443,165.193,4
120,Standing Outside a Broken Phone Booth with Money in My Hand,21 Alt Rock Anthems,Various Artists,2014-07-22,336706,0,0.14,0.718,0.613,0.74,0.0798,-7.028,0.0414,95.007,4
121,Superman,Hang-Ups,Goldfinger,1998-06-01,185026,65,0.000131,0.429,0.937,0.0002,0.0807,-3.986,0.0573,194.838,4
122,"Hey Man, Nice Shot - Remastered Version",Short Bus,Filter,1995,314440,0,0.00214,0.479,0.588,0.709,0.319,-10.773,0.0339,177.014,4
123,Unsung,Unsung: The Best Of Helmet 1991-1997,Helmet,2004-01-01,237360,48,9.22e-05,0.345,0.885,0.00372,0.131,-6.249,0.0862,162.262,4
124,Save Yourself,Darkest Days,Stabbing Westward,1998-03-31,253293,53,2.94e-05,0.572,0.859,0.253,0.201,-6.785,0.0352,110.034,4
